b2c0,b2c1,b2c2,b2c3,b2c4,b2c5,b2c6,b1c0,b1c1,b1c2,b2c10,b3c21,b3c28,b3c6,b2c17,b2c18,b2c19,b1c5,b2c20,b2c21,b2c22,b2c23,b3c10,b3c16,b3c42,b3c45,b3c7,b1c6,b1c7,b2c24,b2c25,b2c26,b2c27,b2c28,b2c29,b2c11,b2c12,b2c13,b2c14,b1c4,b2c30,b2c31,b2c32,b2c33,b2c34,b2c35,b3c1,b3c17,b3c25,b3c30,b3c34,b3c44,b3c9,b1c9,b1c11,b1c16,b1c17,b1c14,b1c15,b1c18,b1c19,b1c20,b1c21,b3c11,b3c13,b3c18,b3c26,b3c35,b3c4,b3c40,b2c36,b3c12,b3c14,b3c19,b3c27,b3c3,b3c36,b3c41,b3c5,b2c37,b2c38,b2c39,b2c40,b2c41,b3c15,b3c29,b3c22,b3c31,b3c0,b3c20,b3c24,b3c33,b3c43,b3c8,b2c42,b1c23,b2c43,b1c26,b1c27,b1c24,b1c25,b2c44,b2c45,b1c30,b1c31,b1c28,b1c29,b2c46,b1c32,b1c33,b2c47,b1c34,b1c35,b1c38,b1c39,b1c36,b1c37,b1c40,b1c41,b1c42,b1c43,b1c44,b1c45
1.0698104,1.0715642000000003,1.0727733,1.0662802,1.0722735999999995,1.0674963,1.0678988,1.0710422000000002,1.0750588000000003,1.0797697999999998,1.0678856,1.0677319,1.0517926000000002,1.0622228000000002,1.0666555,1.0638466999999998,1.0484417999999998,1.0761191,1.0826977000000002,1.0764444,1.079504,1.0742463,1.0610918,1.0593414000000003,1.0664531,1.0691922,1.066785,1.0752068,1.0936196,1.0677337999999998,1.0671079999999995,1.0764518000000003,1.0656146,1.0689626000000003,1.0722121,1.0704689,1.0709895,1.080073,1.077906,1.078509,1.0669879000000002,1.0727893,1.0740222,1.0788997000000002,1.0684291,1.0685115,1.0642670000000003,1.065001,1.0606843,1.0680537,1.0609888,1.069182,1.0688168,1.0818604,1.0528742,1.0805536999999998,1.0720162,1.0702432,1.0602639000000005,1.0658286,1.0851481,1.0719241,1.0816174000000005,1.0675462000000002,1.0649482,1.0678946000000002,1.0715083999999997,1.0630448,1.0718852,1.0585489,1.0792754,1.0736545,1.0720136999999998,1.0712141000000002,1.059994,1.0622263000000003,1.0571625,1.0497104,1.0502398999999998,1.074512,1.0695753,1.0778414,1.0751839000000003,1.0677956,1.0681897,1.0659408999999995,1.0557892,1.0676646,1.0669638,1.0641267,1.0460803999999997,1.0601134,1.0696610999999998,1.0644197,1.0780977000000005,1.0796089,1.0734776,1.0879872000000002,1.0795406,1.0744358,1.0747926,1.0707431999999997,1.0702371999999998,1.0801310999999998,1.0946599,1.077327,1.0796207,1.0721927,1.0779539000000002,1.0925435,1.0411056,1.0769211999999997,1.0711590999999998,1.0734043999999998,1.0821489,1.0780448000000002,1.0751489,1.0839938999999998,1.0794086000000005,1.0803403,1.068558,1.0850911,1.0840697
1.071287,1.0721200999999998,1.074653,1.0668869,1.0733391,1.0686578,1.0692574999999995,1.0716741,1.0764499,1.0811372,1.0694784,1.0678043000000002,1.0521657,1.0625807,1.0671006,1.0647208999999995,1.0478849,1.0765846,1.0842696000000005,1.0779533,1.0811466,1.0760298,1.06188685,1.0614671,1.0674694,1.0699261,1.0679805000000002,1.0768375,1.0950329,1.0688840000000002,1.068538,1.0786452,1.0671675,1.0731071,1.0734949,1.0716591,1.0719491,1.0814673999999995,1.0792805,1.0789363,1.0683354,1.0744764,1.076026,1.0808975000000005,1.0701718000000002,1.0698155000000005,1.0654207000000002,1.0659628,1.0615507,1.0689151,1.061855,1.0698798000000005,1.0698085000000002,1.0831084,1.0543745,1.0817721,1.0731622,1.0714432000000005,1.0619397999999998,1.0666904,1.0864037999999998,1.0729818000000002,1.0827969,1.0683130999999997,1.0659854000000002,1.0682116,1.0722685999999997,1.0635259,1.0725667,1.0592878,1.0802686,1.0745056,1.07286,1.0721251000000005,1.0609527999999997,1.0624947000000002,1.0575893,1.0507050000000002,1.0511508,1.0759928,1.0713829,1.0801287,1.0764916000000002,1.0699699,1.0687851,1.0668379,1.056538,1.0684668,1.0676115,1.0649722,1.0467877,1.0608082,1.0703688000000002,1.0654395,1.0798535,1.0807295,1.0751036,1.0892196,1.0805603,1.0752831,1.0758335999999995,1.0721395,1.0714922999999998,1.0812763000000003,1.0959182999999997,1.0785888,1.0807935,1.0739155,1.0789523000000003,1.0937302,1.043239,1.0779907000000002,1.0723011000000002,1.0745001,1.083428,1.0791497,1.0761684,1.0852357,1.0806238999999995,1.0817327,1.0696825000000003,1.0863394999999998,1.0853274000000002
1.0726261,1.0732002,1.0755781,1.0677723999999995,1.0738577,1.0693797000000005,1.0703237,1.0723044,1.0771132,1.0819083,1.070466,1.0679759,1.0524732,1.0627698999999995,1.0700918,1.0659367999999998,1.0491858,1.0774506,1.0853147999999997,1.0785903,1.0821638,1.0768833,1.0626818999999998,1.0619558,1.0679392,1.0701956999999995,1.0683975500000005,1.0775899,1.0957154,1.0694260999999998,1.0695475,1.0797380000000003,1.068163,1.0712581999999995,1.0740008,1.0727998,1.0725698,1.0821903000000002,1.0800283,1.0796522,1.0687319,1.0755699999999997,1.0774408999999998,1.0819354000000003,1.0713124,1.0707515,1.0661252,1.0667830000000005,1.0622387,1.0696511,1.0623057,1.0703909,1.0703827,1.0837065,1.0553068,1.0826809,1.0738328,1.0717359,1.0628877000000003,1.0672774,1.0869902000000002,1.0736504999999998,1.083318,1.0688145,1.0667303,1.0686785000000003,1.0727128999999995,1.0641713,1.0729083,1.0600530999999995,1.0805793,1.0751212999999995,1.0741044,1.0727344999999997,1.0616875999999995,1.0627631,1.0581429999999998,1.0513625,1.0520669,1.0765716,1.0722214,1.0813301000000002,1.0788758,1.0709946,1.0693588999999997,1.0675097,1.0571967,1.0692501999999997,1.0681635000000005,1.0656645,1.0478029000000002,1.0612975,1.0709646,1.0659773,1.0808354999999998,1.0814303000000005,1.076107,1.0897871,1.0810840000000002,1.0760142,1.0763060000000002,1.0729042,1.0722325,1.0819489,1.0966914000000003,1.0792035,1.0813594,1.0746868,1.0795504,1.0944667999999995,1.0440910999999995,1.0785231999999998,1.0729425999999995,1.0747448,1.0841697,1.0799013,1.0768263,1.0859085,1.0813954999999995,1.0825305000000005,1.0702219999999998,1.0870187999999998,1.0860193
1.0714829,1.0714039999999998,1.0756452,1.0675412000000002,1.0746213,1.0701044,1.0704954,1.07297,1.0777587,1.0825093,1.0710732000000005,1.0680529,1.0527158999999997,1.0627916000000002,1.0715117,1.0655494,1.049651,1.078348,1.0861240999999997,1.0798223999999998,1.0827557,1.0767112,1.0629809,1.06240765,1.06832585,1.0704417,1.0688146,1.0785972,1.0962867,1.0709345,1.0696796000000002,1.0797389000000002,1.0682156,1.0735297999999998,1.0727081999999997,1.0730010999999997,1.071933,1.0826939000000002,1.0792562,1.0802691000000002,1.0694771,1.0747935,1.0775267,1.0820354,1.0721631000000005,1.0715419,1.0667428,1.067181,1.0625968,1.0701256,1.0628873999999997,1.0709924,1.0709763,1.08424,1.0558809,1.0834727,1.0743085000000003,1.0726504,1.0638223,1.0679029,1.0874571,1.0741931,1.0839549,1.0693243999999995,1.067245,1.068956,1.0733569,1.064202,1.0734720000000002,1.0608102,1.081441,1.0755164999999998,1.0745790999999998,1.0730226,1.0622762,1.0635325000000002,1.0586978000000002,1.0519146,1.0524521,1.0769873000000003,1.0725291,1.0817745,1.0799217,1.0713705,1.0700077,1.0680928,1.0574812999999998,1.0697207,1.0686950999999998,1.0659782,1.048233,1.061612,1.0713793,1.0664697000000003,1.0811411,1.0818599,1.0768203999999997,1.0903399,1.0814514000000002,1.0764172999999997,1.0767082,1.0737777000000002,1.0730866999999995,1.0822543000000002,1.0970992000000002,1.0795674,1.0818528,1.0756184,1.0799371,1.0949680999999998,1.0452843,1.0787121000000002,1.0733517,1.0750817,1.0846887000000005,1.0804779999999998,1.0772606000000002,1.0865337,1.0820458,1.0830137,1.0707093000000003,1.0874622000000005,1.0864292
1.0729553,1.0715003,1.0761623,1.06786,1.0744638,1.0700605,1.0710168000000002,1.0734913,1.0783504,1.0827513999999998,1.0714235999999997,1.0681226,1.0527134,1.0627515000000003,1.0709891,1.066186,1.0494345,1.0789577,1.0861176,1.0797333000000002,1.0829407,1.0772169,1.0633458,1.062777675,1.068591025,1.0707409,1.0693407999999998,1.0793256000000002,1.0966837,1.0705402,1.0701895,1.0805702,1.0689154999999997,1.0732356,1.0746535,1.0735281000000003,1.0736009000000002,1.0827489,1.0808680000000002,1.0806787,1.0700307,1.0768939999999998,1.0782092999999997,1.0825975,1.0725219,1.0717274,1.0669742000000002,1.06748645,1.0629855,1.0703528,1.0632698499999995,1.0714544,1.0713738,1.0847108,1.0564304999999998,1.0839037,1.0746828,1.0732678999999998,1.0645307000000002,1.0682282,1.0877502,1.0745264,1.0842835,1.069571,1.0676348,1.0694069000000002,1.0738012,1.0645493,1.0737451,1.0613332,1.0817815,1.0758402,1.0749303,1.0731764,1.062526,1.0638715,1.0588926,1.0523524,1.052797,1.0772748,1.0728997000000002,1.082449,1.0804207,1.072058,1.0704548,1.0686642000000002,1.0578629,1.0699764,1.0689446,1.0663561,1.0487940000000002,1.0620011,1.0716959,1.0668826,1.0815082,1.0819932,1.0771271,1.0905515,1.0816858000000005,1.0769215000000003,1.0769897,1.0737965,1.0732412,1.0825476999999997,1.0974065999999998,1.0798997,1.0821387,1.0759963999999995,1.0802684,1.0953003999999995,1.0460467,1.0789706,1.0736883000000002,1.0755012,1.0849563,1.0807011000000002,1.0775250999999997,1.0866898,1.0822885000000002,1.0832327999999998,1.0708795,1.0877569,1.0867825
1.0728405999999997,1.0713344,1.0766481999999995,1.0681429,1.0744193000000002,1.0702153000000003,1.0714978,1.073922,1.0788049,1.0831335000000002,1.0716202,1.0683472,1.0526952,1.0626551000000002,1.0708479,1.0668446,1.049554,1.0793879,1.0864670000000003,1.079869,1.0831503,1.0774571,1.0622407,1.0623803375,1.0687558625,1.070971,1.0697054,1.0798209,1.0967363,1.0705525,1.0704403,1.0809289,1.0693796,1.0747813,1.0751619,1.0738461,1.0737523000000002,1.0828607,1.0810850999999997,1.0810840000000002,1.0703673000000002,1.0773573,1.0786647000000005,1.0831681,1.0729371000000003,1.0719314,1.0673420500000002,1.067757025,1.0634684999999997,1.0707150999999997,1.0635203249999998,1.0718924,1.0718514,1.085319,1.0569655,1.0844092,1.0749968000000003,1.0737028,1.0649763,1.0686313,1.0879303,1.074755,1.0845013,1.0699331,1.0680708000000003,1.0696406,1.0742457,1.0647056999999998,1.073999,1.0618913,1.0823041999999998,1.0758567,1.0752784,1.0733658,1.0630146000000005,1.0640794000000002,1.0592934,1.0526637,1.0529828,1.0774839000000005,1.073247,1.0829799999999998,1.0803368,1.0725201,1.0705848000000002,1.0690686,1.058062,1.0703336,1.0693917000000002,1.0665371,1.0491972,1.0622633,1.0719980000000002,1.0672038,1.081744,1.0822268000000002,1.0774709999999998,1.0907426,1.0819464,1.0771254999999995,1.0772548,1.0739499,1.0734178,1.082775,1.097573,1.0799608,1.0823433,1.0762755,1.0804522999999997,1.0955410000000003,1.0466075,1.0792193,1.0737302999999998,1.0758173000000002,1.0852182,1.0809815,1.0777885,1.0868752999999998,1.0825169,1.083423,1.0711148,1.0879869000000002,1.0870091
1.0708085,1.0685794000000002,1.0758277999999997,1.0675868000000002,1.074405,1.0705893,1.0715748,1.0741584,1.0791524999999995,1.0834411,1.0719464,1.06836,1.0526935,1.062596,1.0714954,1.0659329,1.0495406,1.0796381,1.0866849,1.0803052999999998,1.0833961,1.0771891999999998,1.0638441000000003,1.061983,1.06893678125,1.0709510000000002,1.0699592999999998,1.0801449,1.0966456,1.0708132,1.0702993,1.0805298000000003,1.0691452,1.0734341,1.0748535,1.0738293999999995,1.0738325999999998,1.0829631000000002,1.0812882,1.0813878999999995,1.0704659,1.077413,1.0779047,1.0826614,1.0728472,1.0721642,1.067636025,1.0679189125000002,1.0637016999999998,1.0710537,1.0637149624999995,1.0721200999999998,1.0720339000000003,1.0856879,1.0572027,1.0847342,1.0752345,1.07401745,1.0653382000000002,1.0688776,1.0882019,1.0747918999999997,1.0847009,1.0700961000000002,1.068339,1.0697849,1.0746017,1.0647914000000005,1.0739632,1.0623285,1.082597,1.0760845,1.0755887000000002,1.0734756,1.0632796,1.0642402,1.059549,1.0529511,1.0530913,1.0778810999999997,1.073249,1.0831329000000005,1.0798715,1.0720187000000003,1.070803,1.0693939,1.0582645,1.0705224,1.0695196,1.0667762,1.0496175,1.0623879000000005,1.0722015,1.0674686,1.0815006,1.082364,1.0777581,1.0909083000000002,1.0820678,1.0772976999999997,1.0774396999999998,1.0742693000000003,1.0737978,1.0830255999999998,1.0977674,1.0801128,1.0825412999999997,1.0766972999999995,1.0805676,1.0957431999999998,1.0471369,1.0794368,1.0739415,1.075986,1.0854415999999998,1.0811293000000002,1.077999,1.0871191000000002,1.0827405,1.0836653999999997,1.0712239,1.0881159,1.0871809
1.0729717,1.0689729,1.0767668,1.0677483999999997,1.0744665,1.0705775000000002,1.0716891,1.0743366,1.0793617,1.0835205,1.0722041,1.0684141,1.0525883,1.0624423000000005,1.0703555,1.0666138000000005,1.0491034,1.0798664,1.0867416,1.0803267,1.0834806999999995,1.0775633,1.0639336,1.0628190000000002,1.069005640625,1.0711949,1.07008595,1.0804281000000002,1.0967239000000002,1.0707124,1.070719,1.0811627,1.069657,1.0740994999999998,1.0753908000000003,1.073916,1.0738773,1.0828726999999998,1.0814146,1.0816167999999995,1.0706966999999998,1.0778873,1.0781253999999998,1.0832590999999998,1.0732914,1.0723188,1.0678000625,1.0680250562500002,1.0639293,1.0712347,1.0638885312499995,1.0722271,1.0722734,1.0859989999999995,1.0573579,1.08497035,1.0754749,1.0742727749999998,1.0656536,1.0690911,1.0884173,1.0748954999999998,1.0847994,1.0703994,1.0685538,1.0698667,1.0747181,1.0649472000000002,1.0742267,1.0626937,1.0827994000000003,1.0762944,1.0756767000000005,1.0736074,1.0635676000000005,1.0643752000000002,1.059737,1.0531833000000002,1.0531547,1.0782094,1.0735315,1.0834432,1.0806782,1.0728607,1.0708572000000005,1.069566,1.0583640000000003,1.0707283000000003,1.0699039999999995,1.0668574999999998,1.0499350999999997,1.0624789000000003,1.0722399,1.0677336,1.0818173000000002,1.0825366000000003,1.0779022,1.0907929,1.0820278,1.0774791999999995,1.0776578000000003,1.0743674,1.0737945,1.0828359,1.0975605,1.0802017,1.0826352,1.0768231,1.0806562,1.0958028,1.04767,1.0786079999999998,1.0730132,1.0760696,1.0855258,1.0804086,1.0772995,1.0872661,1.0828702,1.0837302,1.0713279,1.0881757000000003,1.0873405
1.0730203,1.0689027000000002,1.0771496,1.0677483999999997,1.0745851,1.0707784,1.0717726,1.0743531,1.0795659,1.0835621,1.0723851999999998,1.0684478,1.0525346,1.0623062,1.073071,1.0669889,1.0492159,1.0800530999999998,1.0870129,1.0803078,1.0837343,1.0777233000000002,1.0640634,1.0632538000000002,1.0690989703125,1.0711632000000002,1.0702447249999998,1.0806136,1.0974201,1.0708447,1.0709999,1.0813329,1.0699565,1.0715974999999998,1.0757619,1.0741301999999997,1.0738716,1.0829475,1.0815505,1.0817835,1.0709388,1.0781277,1.0786072,1.0835106,1.0735034,1.0723691,1.06787243125,1.068106878125,1.064117,1.0713642,1.0639959656249998,1.0724722,1.0725045000000002,1.0863247,1.0575952999999998,1.085193675,1.0755415,1.0745124375,1.06592005,1.069212,1.0885739,1.0749342,1.084908,1.0705258,1.0688064,1.0698206,1.0748345,1.0651753999999998,1.0742970999999997,1.0628999,1.0830725,1.0764660999999998,1.0758365,1.0736458,1.0636740000000002,1.0644440999999998,1.0599048,1.0533267,1.0532265000000005,1.0784458,1.0737533999999995,1.0838968,1.0818599,1.0731620999999998,1.0710098,1.0696762,1.0583858,1.0708407999999998,1.0700208,1.0670383,1.0501140000000002,1.0625699,1.0724493000000002,1.0679348,1.0821508000000002,1.0826616,1.078151,1.091236,1.0824633,1.0775469999999998,1.0778529999999995,1.0744487,1.0738811,1.0832653000000003,1.0979525999999995,1.0803220000000002,1.0827159,1.0769889,1.0807346,1.0958022,1.0480705,1.0798844000000003,1.0741992000000002,1.0763298999999995,1.0856982,1.0814439,1.0783606999999995,1.0874161,1.0829945,1.0839380999999997,1.0714460999999995,1.0882945999999998,1.0874144
1.0717062,1.0663183000000005,1.0765275000000003,1.0673537,1.0745956,1.0710143999999997,1.071557,1.0746447,1.0797709,1.0837057,1.0724173,1.0683869,1.0524883,1.062148,1.070573,1.0660203999999998,1.0487296999999998,1.0801753499999998,1.0869328,1.0808251,1.0837831,1.0774109,1.0627125999999998,1.0635045,1.06914758515625,1.0711486,1.0703232125,1.0808398,1.0975255,1.0710356,1.0708138,1.081184,1.0695939000000003,1.0739632999999995,1.0754458000000002,1.0740408,1.0740253000000002,1.0828668,1.0815923,1.0819265999999998,1.0708896000000003,1.0781013,1.0785075000000002,1.0831746,1.0734615,1.0726663,1.067940465625,1.0681465890625002,1.0640845999999995,1.0715016,1.0640371328125,1.0726345,1.0726701999999997,1.0862009999999998,1.0576496,1.0853809375,1.0757251,1.07467436875,1.066123625,1.0694467,1.0886695,1.0749407,1.0849277,1.0705243000000002,1.0689337,1.0698835,1.0749257999999997,1.0651584999999997,1.0742033000000002,1.0630132,1.0834297,1.0763478000000002,1.0760044,1.0736842000000002,1.0637994000000002,1.0644157999999997,1.0599829,1.0534581,1.0534083000000003,1.0785136000000002,1.0736690000000002,1.0838095000000003,1.0813020000000002,1.0729177,1.0710453,1.069965,1.0584497000000002,1.0709385,1.0700407999999997,1.0671393000000002,1.0502369,1.0625464,1.0724279000000003,1.0680377,1.0820130999999995,1.0827603,1.0782585,1.0913535,1.0825677,1.0778430999999995,1.0781057,1.0747336,1.0741830999999995,1.0833621,1.098029,1.0803502,1.0828487,1.0773740000000005,1.0808762,1.0959404,1.0483264,1.0799901,1.0743195,1.0763669,1.0858279,1.0815527,1.0784565999999998,1.0875719,1.0831581,1.0840614,1.0715396,1.0883278,1.087476
