,cycle,b1c0,b1c11,b1c14,b1c15,b1c16,b1c17,b1c18,b1c19,b1c1,b1c20,b1c21,b1c23,b1c24,b1c25,b1c26,b1c27,b1c28,b1c29,b1c2,b1c30,b1c31,b1c32,b1c33,b1c34,b1c35,b1c36,b1c37,b1c38,b1c39,b1c40,b1c41,b1c42,b1c43,b1c44,b1c45,b1c4,b1c5,b1c6,b1c7,b1c9,b2c0,b2c10,b2c11,b2c12,b2c13,b2c14,b2c17,b2c18,b2c19,b2c1,b2c20,b2c21,b2c22,b2c23,b2c24,b2c25,b2c26,b2c27,b2c28,b2c29,b2c2,b2c30,b2c31,b2c32,b2c33,b2c34,b2c35,b2c36,b2c37,b2c38,b2c39,b2c3,b2c40,b2c41,b2c42,b2c43,b2c44,b2c45,b2c46,b2c47,b2c4,b2c5,b2c6,b3c0,b3c10,b3c11,b3c12,b3c13,b3c14,b3c15,b3c16,b3c17,b3c18,b3c19,b3c1,b3c20,b3c21,b3c22,b3c24,b3c25,b3c26,b3c27,b3c28,b3c29,b3c30,b3c31,b3c33,b3c34,b3c35,b3c36,b3c3,b3c40,b3c41,b3c42,b3c43,b3c44,b3c45,b3c4,b3c5,b3c6,b3c7,b3c8,b3c9
0,1,1.0706892,1.0537786,1.0709661,1.0611236,1.0811663,1.072052,0.87117839,1.0851147,1.0753012,1.07263,1.0824388,1.0792933,1.0745355,1.0752345,1.0876514,1.0790461,1.0777475,1.0794535,1.0799223,1.0798634,1.0946392,1.0778366,1.0924908,1.0766174,1.0707464,1.0778315,1.0748194,1.0729513,1.0817773,1.0833029,1.0789613,1.0798725,1.0682389,1.0847682,1.0839558,1.0784166,1.0761263,1.0758358,1.0938644,1.0829742,1.0700541,1.0690521,1.0717047,1.0712759,1.080285,1.0780684,1.0656468,1.063838,1.0480373,1.0720705,1.0831043,1.0768799,1.079723,1.0745209,1.0679682,1.0672674,1.0766411,1.065841,1.07155,1.0725043,1.0735391,1.0672802,1.0732793,1.0742669,1.079052,1.0688509,1.0687217,1.079731,1.0748166,1.0699497,1.0784613,1.0668509,1.0765519,1.0682049,1.0780239,1.0735646,1.070887,1.0704726,1.0726138,1.0421375,1.0728973,1.0680153,1.0687391,1.0674551,1.0617746,1.0680679,1.0741653,1.065558,1.0727056,1.0684187,1.061009,1.0664514,1.0680237,1.0719248,1.0650603,1.0650502,1.0678563,1.0562643,1.0462732,1.0611302,1.0720186,1.0604171,1.0518668,1.0663688,1.0687393,1.0681812,1.060272,1.061535,1.0633804,1.0575287,1.0628892,1.0593235,1.0505219,1.0669198,1.0701852,1.06972,1.0695485,1.0724765,1.0514506,1.0626124,1.0675218,1.0647362,1.0694826
1,2,1.0719005,1.0550324,1.0721081,1.0627433,1.0823847,1.0732841,0.87117839,1.0863022,1.0766121,1.0737344,1.0836136,1.080552,1.0755144,1.0763277,1.0887769,1.0801724,1.0790652,1.0806577,1.0813154,1.0811632,1.0959352,1.0789613,1.0938309,1.0778389,1.0719526,1.0791167,1.076063,1.0740083,1.083198,1.0846047,1.0802841,1.0813485,1.069389,1.0860728,1.0852593,1.0790124,1.0766529,1.0772603,1.0951102,1.0836858,1.0719095,1.0705529,1.0729293,1.0723143,1.0816163,1.0795292,1.0695888,1.0648464,1.0480293,1.072906,1.0847358,1.0783828,1.0813317,1.0763631,1.0691004,1.0688325,1.0789365,1.0674493,1.0732845,1.0740113,1.0754818,1.0685999,1.0749165,1.0750949,1.0797886,1.0694284,1.0690631,1.0792044,1.0761782,1.070408,1.0793217,1.0676271,1.0788745,1.0704525,1.079802,1.0753698,1.072312,1.0717604,1.0743216,1.0438014,1.0741193,1.0691153,1.0702139,1.0682849,1.0624784,1.0686512,1.0748765,1.0665193,1.0742604,1.0689965,1.0615807,1.0671474,1.0685793,1.0726638,1.0661838,1.065752,1.0680218,1.0569252,1.0472243,1.061978,1.0725763,1.0613309,1.0522791,1.067315,1.0696324,1.0689309,1.0607876,1.0620755,1.0637906,1.0580546,1.0632294,1.0598956,1.0514336,1.0676856,1.0708117,1.0703323,1.0701143,1.0730443,1.0520495,1.0629802,1.0682656,1.0656182,1.0703384
2,3,1.0725095,1.0558786,1.0724825,1.0637267,1.0833584,1.0739229,0.87117839,1.086993,1.0772982,1.0744811,1.0844665,1.0813111,1.0761921,1.0766819,1.0895739,1.0807079,1.0796903,1.0812927,1.082234,1.0818654,1.0967274,1.0795897,1.0946157,1.0782866,1.0727253,1.0799077,1.0766593,1.0743377,1.0838681,1.08542,1.0810505,1.0821602,1.0701087,1.0867941,1.0860058,1.0797465,1.0775995,1.0784051,1.0959545,1.0842299,1.072965,1.0715324,1.0739486,1.0728365,1.0824264,1.0802991,1.0703218,1.066077,1.0490997,1.0736164,1.0857648,1.0789765,1.0823284,1.0771495,1.0696262,1.0697515,1.0798079,1.0684859,1.074313,1.0743943,1.0763412,1.0689265,1.0760304,1.0772953,1.0819074,1.0716448,1.0710312,1.0811309,1.0769182,1.0724484,1.0818346,1.0685339,1.0798837,1.0713326,1.0807577,1.076287,1.0729803,1.0724554,1.0750836,1.0453755,1.0744642,1.0698709,1.0712186,1.0687084,1.0630711,1.0690908,1.0754544,1.0671138,1.0748252,1.0695444,1.0621419,1.0678582,1.0689354,1.0731335,1.0667455,1.066355,1.0681052,1.0575157,1.0480354,1.0625266,1.0730283,1.0620921,1.0525209,1.0678768,1.0701834,1.06952,1.0613223,1.0625553,1.0643303,1.0586547,1.063585,1.0608622,1.0520619,1.0681379,1.0713063,1.0708879,1.0704218,1.0734055,1.0526897,1.0630591,1.0687692,1.0662173,1.0709082
3,4,1.073174,1.0564448,1.0733926,1.0646247,1.0840896,1.0745074,0.87117839,1.0874816,1.0781505,1.0750004,1.0848194,1.0818073,1.0764751,1.0772517,1.090127,1.0812072,1.0801463,1.0817963,1.0827312,1.0821818,1.0971971,1.0801555,1.0951551,1.0785322,1.0732437,1.0804975,1.0771673,1.0748016,1.084457,1.086074,1.0817143,1.0826759,1.0705794,1.0872587,1.0863997,1.0804269,1.0785232,1.0791821,1.0964732,1.0847102,1.0719097,1.0720686,1.0743829,1.0736918,1.0827806,1.0808921,1.0722336,1.0655496,1.0496798,1.0713807,1.0864058,1.0800804,1.0828061,1.0769193,1.0712154,1.0698761,1.079951,1.0684742,1.074273,1.0746225,1.0763675,1.0696967,1.0765644,1.0773442,1.0819733,1.072331,1.0717659,1.0818433,1.0771992,1.0726807,1.0821269,1.068211,1.0799356,1.0715803,1.0810982,1.076982,1.0738072,1.0732507,1.0759063,1.0461055,1.0752395,1.0705818,1.0713428,1.0690936,1.0632553,1.0695097,1.0758239,1.0675212,1.0753649,1.0701469,1.062538,1.0681428,1.0693455,1.0733607,1.0672238,1.0665587,1.0682704,1.0577407,1.0485005,1.0629901,1.0737659,1.0624913,1.0526985,1.0684901,1.0705589,1.0699984,1.0616887,1.0631043,1.0644418,1.0589134,1.0643547,1.0613143,1.052555,1.0685903,1.0717107,1.0714406,1.0706183,1.0737818,1.0531315,1.0630716,1.0689943,1.0665767,1.0714244
4,5,1.0735761,1.0570792,1.0739666,1.0652857,1.0846542,1.0748942,0.87117839,1.0877784,1.0785438,1.0752697,1.0851753,1.0819774,1.0769914,1.0775747,1.0902194,1.0814734,1.0804075,1.082124,1.0830303,1.0825673,1.097481,1.0804064,1.0955693,1.078815,1.0735042,1.0807844,1.0774544,1.0752445,1.0847878,1.0863302,1.0820208,1.0829167,1.0708795,1.0876219,1.0867909,1.0807524,1.0790974,1.0798916,1.0969613,1.0852641,1.0732948,1.0723416,1.0746266,1.0738034,1.0828321,1.0810262,1.0699816,1.0661732,1.0492859,1.0715299,1.0864428,1.0800902,1.0830075,1.0774249,1.0707663,1.070374,1.0807364,1.0691681,1.075073,1.0751919,1.076983,1.0701823,1.0771931,1.0781063,1.0825555,1.0726991,1.0719614,1.0821494,1.0775176,1.0730659,1.0828608,1.0685679,1.0807095,1.0723724,1.0813674,1.0773228,1.0738027,1.0733266,1.0763136,1.0466961,1.0751576,1.0706009,1.0717576,1.069415,1.0636628,1.0697372,1.076032,1.0678976,1.0755136,1.070362,1.0630152,1.0684953,1.0696205,1.0734339,1.067446,1.0668859,1.068392,1.0580798,1.0489757,1.0633529,1.0741377,1.0627744,1.0526587,1.0689218,1.0708957,1.070212,1.0620158,1.0634748,1.0646554,1.0592415,1.0645473,1.0619344,1.0528345,1.0687422,1.0720655,1.0719105,1.0709116,1.0741045,1.0534102,1.0630208,1.069432,1.0669744,1.0718178
5,6,1.0739917,1.0575227,1.0743964,1.0656844,1.0850184,1.0751569,0.87117839,1.0880182,1.0789695,1.07544,1.0854222,1.082131,1.0772001,1.0777456,1.0905415,1.0817486,1.0805956,1.0823274,1.0833386,1.0828056,1.0977181,1.080685,1.0958571,1.0790977,1.0736374,1.0809534,1.077722,1.0755045,1.0851029,1.086442,1.0823131,1.0831659,1.0710763,1.0878311,1.0870752,1.0811697,1.0795065,1.0803006,1.0972877,1.0857619,1.0735837,1.0725462,1.0749247,1.0738822,1.0830711,1.0812427,1.0716194,1.0668461,1.0494497,1.0713911,1.0868965,1.0801461,1.0832825,1.077756,1.0707738,1.0706325,1.0809997,1.0696776,1.0754613,1.0756115,1.0773958,1.0705484,1.0775844,1.0785127,1.0830439,1.0730579,1.0722138,1.0826575,1.0777869,1.0734462,1.0833762,1.0689098,1.0812775,1.0726918,1.081635,1.07772,1.074018,1.0735512,1.0765791,1.047393,1.0750158,1.0707194,1.072253,1.0697305,1.0638769,1.070027,1.0760335,1.0682578,1.0759243,1.07057,1.0631005,1.0686727,1.0696751,1.0736682,1.0679125,1.0670462,1.0686967,1.0583824,1.0493212,1.0637853,1.0745056,1.0631793,1.0526767,1.0692838,1.0711703,1.0704013,1.062234,1.063693,1.0647912,1.059455,1.0647578,1.0623733,1.0532103,1.0688037,1.0722688,1.0722347,1.071155,1.0743533,1.0533983,1.0629483,1.0698754,1.067187,1.0721514
6,7,1.0743741,1.0577066,1.0747879,1.0661272,1.0853209,1.0753995,0.87117839,1.0882633,1.07938,1.0755837,1.085573,1.0823684,1.0773504,1.0779704,1.0907471,1.0817883,1.0807317,1.0824894,1.083684,1.0831146,1.0979507,1.0807978,1.0960189,1.079365,1.0738269,1.0811712,1.0779622,1.075792,1.0852605,1.0867541,1.0824924,1.0833955,1.0712072,1.0879982,1.0872878,1.081562,1.0798842,1.0806367,1.0974655,1.0860054,1.0720392,1.0728801,1.0749027,1.073987,1.0830737,1.0814323,1.0692338,1.0659018,1.0494211,1.0683247,1.0868967,1.08064,1.0834986,1.0774397,1.071095,1.0705343,1.0806683,1.0693904,1.0748107,1.0753247,1.0766038,1.0706455,1.0776178,1.0764836,1.0813658,1.0718056,1.071243,1.0817033,1.0781029,1.0722151,1.0834471,1.0684028,1.0805012,1.0723046,1.0813808,1.0778807,1.0743123,1.0738926,1.0769156,1.0478336,1.0750946,1.0711333,1.0722264,1.0699873,1.0639834,1.0690362,1.075101,1.068422,1.0749184,1.0694724,1.063458,1.0687368,1.0698929,1.0738199,1.068042,1.0673007,1.0685678,1.0583642,1.0496308,1.0639347,1.0747789,1.0634905,1.0526767,1.0695181,1.071403,1.0705829,1.0623453,1.0637559,1.0648786,1.0596908,1.0649097,1.0627854,1.0534476,1.0690051,1.0724258,1.0723798,1.0710127,1.0743954,1.0535768,1.0628687,1.0688691,1.0675483,1.0722935
7,8,1.074492,1.0579443,1.0750495,1.066329,1.0855734,1.0756208,0.87117839,1.0884857,1.0795895,1.0756526,1.0856259,1.0825438,1.0774466,1.0781482,1.0908767,1.082202,1.0808195,1.0826528,1.0837147,1.0831774,1.0980457,1.080914,1.0960945,1.0796469,1.0740132,1.0814216,1.0781716,1.0758852,1.0854084,1.0869442,1.082631,1.0835146,1.0713568,1.0881088,1.0874116,1.0817325,1.0799831,1.08091,1.0974988,1.0863636,1.0732112,1.073001,1.074983,1.0740118,1.0830258,1.0815797,1.0705485,1.0666027,1.0490589,1.0691665,1.0870633,1.0806001,1.0836346,1.0778421,1.0709443,1.0709518,1.0813094,1.0698885,1.0756903,1.0758957,1.0775483,1.070865,1.0780863,1.0784971,1.0831547,1.0734524,1.0725707,1.0830785,1.0784619,1.0737581,1.0838689,1.0685719,1.0812676,1.0730197,1.0817713,1.0780894,1.0744216,1.0738957,1.0770938,1.0483149,1.0752398,1.0711216,1.072341,1.0702369,1.0641594,1.0705024,1.0765018,1.0687017,1.0762545,1.0708585,1.0634702,1.068858,1.0698838,1.0738692,1.0683439,1.0673895,1.0686046,1.0584478,1.0499588,1.0642015,1.0748756,1.0636493,1.0525953,1.0696616,1.0716274,1.0707326,1.0624529,1.0639373,1.0650241,1.0598793,1.0648977,1.0630082,1.0535351,1.0690953,1.0724181,1.0725998,1.0711963,1.0745941,1.0535824,1.0625648,1.0702367,1.0677196,1.0724885
8,9,1.0745372,1.0581001,1.0752021,1.0666022,1.0857847,1.0757508,0.87117839,1.0886385,1.0797764,1.0757242,1.0858023,1.0826544,1.0777036,1.0783457,1.0910354,1.0822893,1.0809714,1.0827931,1.0837817,1.0833608,1.0981392,1.0810485,1.0961914,1.0798281,1.0741303,1.081539,1.0783199,1.0760679,1.0856049,1.0871686,1.0827476,1.0837516,1.0714344,1.0882162,1.0875176,1.0819535,1.080176,1.0811012,1.097587,1.0866314,1.0733572,1.073199,1.0752143,1.0739849,1.0830935,1.0816983,1.0731639,1.0669696,1.049107,1.0690311,1.0873606,1.0806184,1.0838825,1.0779557,1.0710604,1.0712485,1.0814238,1.0701967,1.0760785,1.0762185,1.0778636,1.0711464,1.0783074,1.0787864,1.0834111,1.0736306,1.0727148,1.0833874,1.0786763,1.0738974,1.0841404,1.0685728,1.0816238,1.073298,1.0820979,1.0782987,1.0745265,1.0739754,1.0772098,1.0486518,1.0752634,1.071297,1.0724788,1.0704191,1.0643069,1.0706047,1.0765386,1.0689164,1.0763183,1.0709045,1.0635999,1.0689212,1.0700043,1.0738823,1.068262,1.0675322,1.0686178,1.0585029,1.0499612,1.0642061,1.0749502,1.0638406,1.0524576,1.0698459,1.0717069,1.0708563,1.0624503,1.0640321,1.0652138,1.0600277,1.0651054,1.0632297,1.0537622,1.069122,1.0726073,1.0727483,1.0713308,1.0745391,1.0536922,1.0624539,1.0702851,1.0679353,1.0727774
9,10,1.0747814,1.0582157,1.0754467,1.0668538,1.0859965,1.074744,0.87117839,1.0875366,1.0800153,1.0756773,1.0857977,1.0828078,1.0779181,1.078598,1.091149,1.0824029,1.0810122,1.0828774,1.0839587,1.08348,1.0982361,1.0811297,1.0962515,1.0799509,1.0742505,1.081659,1.0784281,1.0762513,1.0857191,1.0872169,1.0829428,1.0838147,1.0715131,1.0882883,1.0876057,1.0819838,1.0803552,1.0813106,1.097845,1.0867989,1.0720562,1.0731715,1.0750402,1.0741354,1.0830073,1.0817382,1.0726068,1.0659064,1.0487089,1.0661548,1.0872135,1.0810565,1.0839164,1.0777309,1.0713584,1.0710331,1.0813167,1.0698814,1.0755715,1.0760227,1.0773178,1.0710868,1.0782793,1.0783879,1.0831406,1.0736417,1.0729617,1.08371,1.0787464,1.0738814,1.0841539,1.0681261,1.0811578,1.0731757,1.0819272,1.0784206,1.0748211,1.0742947,1.0775862,1.0488819,1.075305,1.0715313,1.0721933,1.0704424,1.0642841,1.0706613,1.0765332,1.0690556,1.076596,1.0710021,1.0636877,1.0689521,1.0700951,1.0738292,1.0683278,1.0676036,1.0685649,1.0586069,1.0500613,1.064286,1.075145,1.0639206,1.0523635,1.0701004,1.0717487,1.0709511,1.062585,1.0640823,1.0652966,1.060088,1.0649564,1.0632515,1.0537957,1.0691578,1.0726068,1.0729147,1.0712343,1.0745361,1.0537956,1.0623018,1.0703733,1.0680144,1.0729177
