cycle,b1c0,b1c11,b1c14,b1c15,b1c16,b1c17,b1c18,b1c19,b1c1,b1c20,b1c21,b1c23,b1c24,b1c25,b1c26,b1c27,b1c28,b1c29,b1c2,b1c30,b1c31,b1c32,b1c33,b1c34,b1c35,b1c36,b1c37,b1c38,b1c39,b1c40,b1c41,b1c42,b1c43,b1c44,b1c45,b1c4,b1c5,b1c6,b1c7,b1c9,b2c0,b2c10,b2c11,b2c12,b2c13,b2c14,b2c17,b2c18,b2c19,b2c1,b2c20,b2c21,b2c22,b2c23,b2c24,b2c25,b2c26,b2c27,b2c28,b2c29,b2c2,b2c30,b2c31,b2c32,b2c33,b2c34,b2c35,b2c36,b2c37,b2c38,b2c39,b2c3,b2c40,b2c41,b2c42,b2c43,b2c44,b2c45,b2c46,b2c47,b2c4,b2c5,b2c6,b3c0,b3c10,b3c11,b3c12,b3c13,b3c14,b3c15,b3c16,b3c17,b3c18,b3c19,b3c1,b3c20,b3c21,b3c22,b3c24,b3c25,b3c26,b3c27,b3c28,b3c29,b3c30,b3c31,b3c33,b3c34,b3c35,b3c36,b3c3,b3c40,b3c41,b3c42,b3c43,b3c44,b3c45,b3c4,b3c5,b3c6,b3c7,b3c8,b3c9
2,1.072340093645738,1.0555414892277075,1.072577570754925,1.063386553214404,1.0829610261333813,1.0736956182211599,1.067198578760347,1.0866874941949916,1.0771246980226694,1.074131764308274,1.0840120696618305,1.0809340771129783,1.0758672944125232,1.0766426225250443,1.0891832431185517,1.0805130175801354,1.0794123388734225,1.081032052487652,1.0817709251628178,1.0815181384201034,1.096339985237678,1.0793430497613723,1.0942727955328926,1.078093923478346,1.0723550994543927,1.0795506798297332,1.076428306861104,1.074311313457658,1.083612447203386,1.085056614619125,1.0807405066549451,1.0817659625655889,1.0697721762050925,1.0864651922780681,1.0856491726728517,1.0794802187666352,1.077279056082637,1.0779200747403976,1.0955757999101334,1.0840833917256383,1.0720993186016963,1.0710256568879162,1.0733785902811668,1.072712336614481,1.0819551200111603,1.079938050232815,1.0700463088245367,1.0651530237727385,1.0484288048984876,1.072439533926887,1.0852252049422364,1.0788602954929878,1.081784913916464,1.076603337581747,1.0696179742337675,1.0692048722723009,1.0793385030798142,1.0678567726147068,1.0736840668583891,1.0742833037651072,1.0758255979753184,1.06899486367109,1.0754835396497655,1.0758092248317346,1.0804711061078307,1.0702758314176921,1.0698290034393827,1.0799858292889528,1.0765282269545504,1.0710876980169612,1.0802269408191472,1.0678481779765672,1.0792977599112583,1.070889269688479,1.0802071735746006,1.0758873715597324,1.0727390059079631,1.0721985319490108,1.074836642631127,1.0445700837042722,1.0744059802598473,1.0695337903417683,1.070611817818842,1.0685784333028212,1.062765349821872,1.0689228991541562,1.0751522430816396,1.066874260250457,1.0745941048070815,1.0693376599247044,1.0619231917861323,1.067482134599508,1.0688355817309223,1.0728822639100124,1.0665325629244142,1.0660349182007334,1.0681233426035472,1.0572148814291997,1.047670357249151,1.06233757890565,1.0729831905640517,1.0617208411974874,1.0523877883174988,1.0677257806602696,1.0699567451120995,1.0692689854105675,1.0610965135957986,1.062424878910555,1.0640100758601316,1.0583553944257418,1.0635798626692132,1.0604089974827904,1.051808510739467,1.0679624241812546,1.0711236226706062,1.0707264422690825,1.0703069110505345,1.0733089412543875,1.052387193609531,1.0629892198699449,1.0685407873110784,1.065958849242162,1.0707160584837752
3,1.0726517099588584,1.0559032600469709,1.0729174056849653,1.0638346198850532,1.0833598062329055,1.0739800705766092,1.067494337190983,1.0869514562228997,1.077483848328382,1.0743945502377508,1.0842829150441404,1.081187215933769,1.0761170414476815,1.0768625868822834,1.0894537285477326,1.0807478287698096,1.0796459520147272,1.081287144291566,1.08208214128362,1.0817683583078987,1.0966139126626397,1.0796006775833151,1.0945745696693854,1.0782830698655759,1.0726222948434256,1.0798410111720238,1.076681689307116,1.0745334238356112,1.0838965647490548,1.08535621265844,1.081048159765715,1.0820470075252056,1.070029882481812,1.0867322306003542,1.0859204744165385,1.0798070461984146,1.0777102123291624,1.0783782102835502,1.0958965430803609,1.0843797348135762,1.0722562016637087,1.0713420546662573,1.0736735740051533,1.0729634896603366,1.0821714428898097,1.0802068419086308,1.070260217047918,1.0653764539070356,1.0486548195237217,1.072083149524333,1.0855443285197945,1.0791642776903227,1.0820868343455483,1.0767801290978425,1.069919092689273,1.0694646845725047,1.0796242797233562,1.0681525809240937,1.0739694048644808,1.0744895016366587,1.0760673167543482,1.0692753514812279,1.0758759301150063,1.0762598978683928,1.080905295615886,1.0708045540994025,1.0703005556897423,1.0804841435277859,1.076777896815456,1.07151606835613,1.080833614142925,1.0679990597565872,1.0795991552360782,1.0711987768092959,1.0804732563904866,1.0762385180522143,1.073015454858234,1.0724853111893278,1.0751876283544355,1.0451073386565166,1.0745733500238008,1.069803866925923,1.0708912298536712,1.0687930371941472,1.0629701295613885,1.0691001766018875,1.0753193043522082,1.0671282331293184,1.074808812280042,1.069548823780656,1.0621636522027735,1.067709740543623,1.069010234664694,1.07303172397542,1.0667789076761092,1.0662345711328323,1.0681996111157948,1.057417523440396,1.0479863199318888,1.0625954036705838,1.0732687999750734,1.0619962084999277,1.0524507142909278,1.0680160134911962,1.0701874456682703,1.0694971420334451,1.0613101706772305,1.0626646453212438,1.0641620970675845,1.058568880915806,1.0638128428058655,1.060777882181489,1.0520707002086496,1.068144930761975,1.0713401587162186,1.0710049409728384,1.0704445770615685,1.0734959149525363,1.0526073007502477,1.062982906852096,1.0687338201044883,1.0662026681081613,1.0709819632191673
4,1.073024332352157,1.0563360167200924,1.0733299477934444,1.0643625970859651,1.083827169831395,1.074312456291429,1.0678528124279334,1.087258759929686,1.0779152687685756,1.0746894761229107,1.0845935647967424,1.0814770417200383,1.0764129999884795,1.077124481767047,1.0897647727631816,1.0810246651329372,1.0799137842255173,1.0815829628061713,1.0824469470267144,1.082066281514885,1.0969300246532756,1.079896958432927,1.0949225986075177,1.078520215173907,1.0729269128186805,1.0801745612193043,1.076981540855145,1.0748050938891298,1.0842276977216754,1.085699127370298,1.0814020023369584,1.0823715870058284,1.0703250074105304,1.0870402659787155,1.0862393099820358,1.0801954885815646,1.0782122189334475,1.0789151922857392,1.0962676425798075,1.08474810342446,1.072440094939465,1.0717057093194868,1.0740033947104743,1.0732358069791057,1.082407450774951,1.080511913734564,1.0704516332073726,1.0656383328103676,1.0488737211751573,1.0716017369560005,1.0859035451195012,1.0795024420041002,1.0824329525217669,1.0769917389773718,1.0702289933498732,1.0697697465872786,1.0799602952906455,1.0685067635805474,1.074306010957895,1.074745454770202,1.0763493007204727,1.0696096507347845,1.0763347931935243,1.0767401926819993,1.0813750951303045,1.071372977094197,1.070803210487131,1.0810335269854257,1.0770822758044918,1.0719797821488155,1.081524508258358,1.0681648384112634,1.0799518938607604,1.071563607746466,1.0807720376793293,1.0766451233921714,1.0733281007625488,1.0728104946375971,1.0755961778583394,1.0457472173205378,1.0747451038333597,1.0701083548882728,1.071218243693711,1.0690576798320457,1.063214552553581,1.0693014885857328,1.075496550128785,1.0674352571309413,1.075048970907305,1.0697749543381807,1.0624474731975218,1.0679707355902672,1.069212102787175,1.073206485647264,1.0670735530297848,1.066472623746411,1.0682916279459127,1.0576539945163468,1.0483643392535837,1.062905954386348,1.0736073641198831,1.062326759387457,1.0525115022109173,1.068361942281457,1.070464768294122,1.0697611773189877,1.0615588850864364,1.0629423726880767,1.0643415986072273,1.0588254798702388,1.064077179356785,1.0612228810982038,1.0523819483636683,1.0683520034326144,1.0715929701647904,1.0713359443826578,1.0706072854795867,1.0737165900141818,1.0528520834895134,1.0629589939829134,1.0689617799353361,1.0664979923593236,1.0712985674068642
5,1.0734076575051628,1.0567884038958693,1.0737617548064509,1.0648976886132813,1.0842978790960613,1.0746446424579907,1.0682239207639181,1.0875650104346892,1.0783766262332704,1.074965700136592,1.0848932580565096,1.081765660200081,1.07671583911126,1.0773979723453246,1.0900753542502848,1.0813098682391948,1.080177453101809,1.0818791846907627,1.0828243307373784,1.08237315727945,1.0972438570227885,1.0801898468382045,1.0952652071363405,1.0787826623428771,1.0732272099336788,1.080506535566517,1.0772902025161928,1.0750933816325365,1.0845609347256087,1.0860405333924958,1.0817524355670383,1.0826963792604174,1.0706151187271946,1.0873448672597101,1.0865616574746166,1.0805932138953804,1.0787109741297167,1.0794548190590503,1.0966311955375563,1.0851478928092169,1.072609105142516,1.0720670249012096,1.0743163704131724,1.0734848525091203,1.0826228550878607,1.0808113903370478,1.070623055992424,1.0658945253587246,1.0490365904961831,1.0710098103016343,1.0862516079134032,1.0798287355134697,1.082776648188195,1.0772068532693744,1.0704996964329139,1.070079352556741,1.0802991172087588,1.068870211373766,1.0746482611198502,1.075022311414841,1.0766331204103505,1.0699539417000006,1.0767980514614441,1.077173444877947,1.0818100230220633,1.0718972138266645,1.0712630885907446,1.0815603811335264,1.0774096933238473,1.0724114766779755,1.0821981090469912,1.068309754859981,1.080303911792595,1.0719353895524544,1.0810610878806524,1.0770522196240306,1.073636998175083,1.0731297546507967,1.076008921117228,1.0464116393307754,1.0748950741785022,1.0704073838965982,1.07154219725303,1.0693432070075728,1.0634659941054208,1.0695075822362325,1.075664848766795,1.067759110176489,1.0752885379660542,1.0699873355211373,1.0627356406759036,1.068225676735802,1.0694126062151166,1.0733820540611843,1.0673774832745313,1.0667185001408384,1.0683831923347762,1.0578886998038466,1.048755668452047,1.0632288985762741,1.0739532528748184,1.062671608802202,1.0525536568844882,1.0687190066601264,1.070753998504388,1.0700262481209633,1.0618062476850247,1.0632179304178706,1.0645268231634561,1.0590941597632537,1.064333186618418,1.0616867444594393,1.0527018725290074,1.0685543534179214,1.0718460857385967,1.071676028311683,1.0707713165893662,1.0739385816424454,1.053083611798376,1.062907641319789,1.0692002198997355,1.066810147847871,1.0716262028640158
6,1.0737531112919734,1.0572245761206902,1.074155031963045,1.065371646728861,1.084711753825022,1.0749356711715303,1.0685570300021754,1.087831818670975,1.0788480985074052,1.0751728145672597,1.0851300902561238,1.0820262377664913,1.0769947432388587,1.0776601310434746,1.0903551483628044,1.0815770138688556,1.0804080300466095,1.082145230718496,1.0831963755810516,1.0826553821645748,1.0975208261367682,1.080447676622685,1.0955621757503493,1.0790471569676052,1.0734939637162428,1.080803361333607,1.0775754492891405,1.0753674489615763,1.0848612043552845,1.0863485902861472,1.0820625751608608,1.082988749240211,1.0708687492904625,1.087611654005363,1.086850871476482,1.0809458647620889,1.0791374490746446,1.07992788777765,1.0969344973792232,1.0855395655446858,1.0727313311094642,1.0723884278392726,1.0745770444972544,1.0736836230961113,1.0827906128287355,1.0810764340784726,1.0708318267386812,1.0661094834050062,1.0491177086183305,1.0703394426102344,1.0865539850717612,1.0801154315997765,1.0830842921116657,1.077398732377867,1.0707117610827006,1.0703620573017454,1.080605795381496,1.0692011462262558,1.074964105708119,1.0752957674442805,1.076894121366737,1.0702718152004878,1.0772179493166003,1.0775307236402478,1.0821820712889831,1.0723408910196501,1.071650381653925,1.0820320564305093,1.077731638889194,1.0727826749635376,1.0827821790029444,1.0684076669683744,1.0806183558716695,1.0722806755118863,1.0813151026220287,1.0774195350067863,1.0739174089973138,1.0734128204599076,1.0763866207727395,1.0470351851515696,1.0750144008217397,1.0706747667493852,1.0718191569277729,1.0696205664562284,1.0636962849962441,1.0697130004652973,1.0758252431334956,1.0680680611965896,1.0755211386269878,1.0701805712581012,1.062995016176632,1.06844408307529,1.0695895850466488,1.0735364351780183,1.0676535080238958,1.0669454395016555,1.068456904896576,1.0580934166256546,1.0491158644898804,1.0635270243882435,1.0742670836809984,1.0629928502096064,1.0525648002975379,1.0690497763558064,1.0710233636543443,1.0702662935730465,1.0620226369120418,1.0634597333730749,1.0647010161408863,1.059347568722211,1.0645511349479064,1.0621157225691915,1.0529956106489178,1.0687305182304034,1.072071774320551,1.071989500423701,1.070917354306504,1.0741331025190755,1.053276517166742,1.0628220892034728,1.069436615387582,1.0671071963430712,1.0719323975768433
7,1.0740271573235518,1.0576333657883668,1.0744546641474377,1.0657292322323655,1.0850197081157473,1.0751684152612913,1.0688219593023138,1.0880411227944085,1.0793465693167266,1.075258989348081,1.0852502378965614,1.0822483546765163,1.0772373836508504,1.0779017312406056,1.0905917922996178,1.0818126925634068,1.080593434992005,1.0823686650203381,1.083581784512185,1.0828946384240374,1.0977459107790546,1.0806580639696426,1.0957978442843501,1.079296313466485,1.0737169257622545,1.0810484927209694,1.0778174347167417,1.0756088198856353,1.0851131001047658,1.086609992547794,1.0823183823235478,1.083234472180299,1.0710739409342473,1.0878260493222944,1.0870891510568752,1.0812034001635569,1.0794364878945548,1.0802825964881486,1.0971372969580542,1.0858978404248152,1.0727993074349282,1.0726537814890706,1.0747763455456822,1.0738289419933285,1.0829049346420643,1.0812985562942365,1.0711427188669838,1.0662697871753606,1.0491197174631495,1.0696316674890538,1.086801998782208,1.0803592815293945,1.083343665496309,1.0775549062914238,1.0708733580122112,1.0706038311431594,1.0808696957180803,1.069478658926212,1.0752447791735606,1.075555441197435,1.0771281593053494,1.0705465091696134,1.077574972634081,1.077827484789371,1.0825050525288957,1.0727114684522052,1.07197395114463,1.0824563429479186,1.0780299280329086,1.0731017175855821,1.0832545036928072,1.0684540079857532,1.0808871611996602,1.0725920268765696,1.08153110023052,1.0777342802027672,1.0741656376868753,1.0736517234208296,1.0767161862418246,1.0475839238304876,1.0751094234932672,1.0709029095398648,1.0720278873239255,1.0698688736133866,1.0638905857769105,1.0699169044567203,1.0759872487910593,1.0683441285867374,1.0757540232194596,1.0703639590971548,1.0632078498248019,1.068612457327368,1.0697330243886176,1.0736565411141483,1.0678776921274158,1.0671382744700175,1.0685002207499212,1.0582581738180266,1.0494178297937284,1.0637789128097586,1.0745287483350299,1.0632657814316626,1.052538934441616,1.0693360369243385,1.0712536393540653,1.0704704981003514,1.0621948459668757,1.0636536190564907,1.0648557883755712,1.0595698711109836,1.0647195368698754,1.0624764570538965,1.0532443840385897,1.0688719108844589,1.072260761713488,1.0722602160763688,1.071037418330825,1.0742849408301327,1.0534234811232555,1.06270020775167,1.0696688580527767,1.0673687088792825,1.0722010637336452
8,1.074214242577428,1.0580035463379038,1.07460763758263,1.0659217989040704,1.0851755543138748,1.0753546021602243,1.0690199293027534,1.0882003574429213,1.0799020107917108,1.0751671041249606,1.085193679426032,1.0824320077480523,1.0774445101442072,1.078122262158788,1.0907858320540944,1.0820125235130422,1.080733895151304,1.0825504551148346,1.084014092193014,1.0830864905917466,1.0979196744290882,1.0808231054347246,1.0959769153686334,1.079519738696352,1.073898187447275,1.081235003319014,1.0780051051830795,1.075811088863217,1.0853159544992181,1.086822623493522,1.082522084757397,1.0834323983981275,1.071232979422602,1.0879886507374237,1.0872753744297015,1.0813227136798271,1.0795608805527745,1.0804766822593117,1.0972041044486387,1.086212060734426,1.072823258020121,1.0728642818669947,1.0749242501637366,1.0739325939506497,1.0829760097099137,1.0814840349300003,1.0715663152251111,1.0663800071241514,1.0490639364229826,1.0689234385106057,1.0870060654628633,1.080572793378011,1.0835585447315799,1.0776752722234237,1.0710045088269633,1.0708033067227434,1.0810971071151902,1.0696982399486452,1.0754953961315372,1.075801890044351,1.0773415038790446,1.0707783116439555,1.0778708449522916,1.0780850752867561,1.0828014562318469,1.0730247530273247,1.0722481203790404,1.0828498847631487,1.0782964670165345,1.073384028763686,1.083628837090285,1.0684628258989122,1.0811212375857215,1.0728780142835124,1.0817178144474195,1.0780052142959708,1.0743917800688596,1.0738549968194593,1.0770040317029257,1.048051058133015,1.07519099968408,1.071096556000538,1.072169974224263,1.0700765522933766,1.0640461860817183,1.0701077349644375,1.0761493938116105,1.0685812674838195,1.0759889217672431,1.0705397762605537,1.0633687301381105,1.0687253627912272,1.0698416543264893,1.073739163988335,1.0680423137147965,1.0672929651841327,1.0685072868043206,1.0583886760900385,1.0496526367854366,1.0639801095903256,1.0747362141386982,1.063479188790386,1.0524754422663642,1.0695758816176322,1.0714391916198371,1.0706389327746038,1.0623238931966212,1.0637991076560753,1.0649872549729529,1.0597561737871337,1.0648415346195375,1.0627585074030068,1.053444397203364,1.0689803914634688,1.0724188497537759,1.0724884317612373,1.0711333793559934,1.0743938309130032,1.0535284725419805,1.0625437953493526,1.0698922321384534,1.0675860649740496,1.0724285323874039
9,1.0743158976992615,1.0582979020073582,1.0745795422410604,1.0659190711993907,1.085145115659605,1.0755251423742318,1.0691772490635885,1.0883352519887222,1.080506838162098,1.0748631015581707,1.0849217107292122,1.082580355790739,1.0776197498566942,1.0783220095510164,1.0909426849974198,1.082176595874109,1.0808350044442596,1.0826965202081003,1.0844942281620387,1.0832343723196014,1.0980494917775876,1.0809504996777655,1.096112703040455,1.0797128555795903,1.0740439171190597,1.0813592260244067,1.0781322637857604,1.0759744026265055,1.0854746868866614,1.0869882352082885,1.0826808159391788,1.0835869586749287,1.0713532890084236,1.0881061436480168,1.0874170347507224,1.0812867905455532,1.079483575257123,1.0804824549213343,1.0971084151882664,1.086479689327143,1.0728183708315475,1.0730308099691173,1.075037582193989,1.074009190779017,1.08301979478015,1.081644707841669,1.072049503664815,1.0664523051700847,1.0489769994199984,1.0682406774594386,1.0871847097843912,1.080771465637969,1.0837403875784024,1.0777655586399606,1.071123985618995,1.0709658931456278,1.0812982905256636,1.069862600918153,1.0757229664971233,1.0760388753442995,1.0775399245252908,1.0709756107600543,1.0781155072575164,1.07831037035207,1.083079866765127,1.0732873898562962,1.0724776309526296,1.0832166423078586,1.0785308594004313,1.0736341712916913,1.0839309942035749,1.0684546475863363,1.0813337890675256,1.0731482653386213,1.0818851915396417,1.0782492516464952,1.0746090128943755,1.0740371054226432,1.0772623756119097,1.04844380718505,1.0752668275731943,1.0712653660918894,1.0722598312134402,1.0702396475379459,1.0641676739784183,1.0702656541489723,1.076297432867765,1.0687800514670793,1.0762147712259151,1.070697286626766,1.0634777873240484,1.068764080169937,1.069917924648026,1.0737887445124603,1.0681532345530105,1.0674133165806012,1.068478224400557,1.05849680024255,1.0498245565468332,1.0641371212013566,1.0748967615975258,1.0636322531741742,1.0523777204356375,1.069774553110593,1.0715846072553614,1.070775732630763,1.062417571094461,1.0639026568039034,1.0650923719127152,1.0599089025379191,1.0649273231860437,1.0629693494224446,1.0536008936916856,1.0690644196057353,1.0725564461828778,1.0726813093536578,1.0712125243204285,1.0744704380177759,1.053599287480363,1.0623574782185004,1.0700949799824657,1.0677599807053495,1.0726167128201505
10,1.0743498914829224,1.0584760703853329,1.074395053153724,1.0657503368248857,1.084945462501357,1.0757074171136671,1.0693227161101566,1.0884699668332056,1.0810880410154327,1.074395094784679,1.0844781909655554,1.0826965638064046,1.0777647373848134,1.0784983476475793,1.0910677494999605,1.0823081233186005,1.0809044429913373,1.082812537913019,1.0849628684363186,1.0833453184204636,1.0981433486622358,1.0810480451071476,1.0962178276978414,1.0798753077285834,1.0741605992507532,1.081424156287291,1.0782011157342495,1.076101529625219,1.0855949509474994,1.087110675079524,1.0828005335256252,1.0837048799023536,1.0714420077949183,1.0881859095210538,1.0875237877113957,1.0811379161146484,1.0792391871718212,1.080319882228657,1.0968642819368903,1.0867008494038652,1.072796041197132,1.073167441338593,1.075131639079919,1.0740687487155378,1.0830497514911426,1.0817908330900718,1.0725252696307157,1.0665005435242707,1.0488802581880503,1.0675953547566113,1.0873555731113886,1.0809645849424845,1.083902392338073,1.0778322614812925,1.0712438535722275,1.0711011615583494,1.0814794036997044,1.0699802655587918,1.0759306519913776,1.0762674963310472,1.0777243748884346,1.0711476769251087,1.0783189222021838,1.0785067273997408,1.083336669764891,1.0735075811454424,1.0726697241103103,1.0835507384692935,1.0787373383316703,1.0738501484613865,1.084183292028466,1.0684442497622642,1.0815304703297408,1.0734052781300265,1.0820407213520817,1.0784802780784903,1.074825769831236,1.0742101915053666,1.0774994448290554,1.0487732771052511,1.0753390468317718,1.0714192007260877,1.072313180749504,1.0703605927255628,1.064263602191616,1.07037967045143,1.0764182294629734,1.0689444751924464,1.076417333973629,1.070825334357073,1.0635405044498394,1.068669609041142,1.0699668216154352,1.0738141418545746,1.0682244445644038,1.067508276156181,1.0684181719712806,1.0585928486177547,1.0499454620484427,1.0642605410657786,1.0750195776969662,1.0637327042868343,1.0522525541473802,1.0699383881453002,1.071699695810218,1.0708855014680814,1.062484767166176,1.0639741726075778,1.0651694669416143,1.0600344035003295,1.0649879771813606,1.0631272544128518,1.0537236221574742,1.0691357038705338,1.0726797918041813,1.072845801344127,1.0712840236078203,1.0745296620481015,1.0536451033859893,1.0621483019612308,1.0702662524564537,1.0678980475084243,1.0727705246051982
11,1.0743460536547809,1.058554504861457,1.0741595037987404,1.0655281748275944,1.0846735950760955,1.0759061721928842,1.0694671781481082,1.0886093447411254,1.0815452723735457,1.073913329272114,1.084014303134374,1.0827839520715097,1.077880189324278,1.0786473452203287,1.0911649230291292,1.0824126913819347,1.0809512722398513,1.0829028354816976,1.085332320863659,1.083428065198827,1.0982078339674914,1.0811220638235872,1.0963006264864978,1.0800092639496695,1.0742544396712868,1.0814477766627206,1.078229778121013,1.0761969412347647,1.0856830731323517,1.0871967428948321,1.0828863277078769,1.0837946223817716,1.0715050440314242,1.0882351766533163,1.0876044900613655,1.0809833561790927,1.0789469601866988,1.0800828357726884,1.0965536985308246,1.086877298280521,1.0727591074171667,1.0732860018724115,1.0752164689092933,1.0741148148983923,1.0830729745403922,1.0819274761180724,1.0729616357568754,1.0665407920578494,1.048784196214179,1.0669832593844792,1.0875294489730263,1.0811524585255183,1.0840548046001133,1.077880078854919,1.0713678232935848,1.0712197612960357,1.0816406497081068,1.0700704156680507,1.0761168370592868,1.076484056466155,1.0778911489498433,1.0713014601581543,1.0784887513779906,1.0786844649021488,1.0835653184127374,1.0737034529569662,1.0728429847939456,1.083847134271402,1.0789211209103724,1.0740321673222268,1.0843995917768967,1.0684350612266638,1.0817089011992955,1.0736441096484062,1.08218894444756,1.0787037346410486,1.075042928137536,1.0743800153120873,1.0777172121684897,1.0490499617001712,1.0754045683413713,1.0715647444609784,1.0723397373746095,1.0704476115721737,1.0643438591696277,1.0704566064487482,1.0765096411220327,1.0690803664896582,1.076590332808659,1.0709232084945266,1.0635745759565731,1.0683329083235231,1.0699967599395337,1.0738254911904894,1.0682718235051427,1.0675889297459091,1.0683350492130426,1.0586826198571682,1.0500301253719324,1.064360699581923,1.0751133552926713,1.0637949602866346,1.0521091440613222,1.0700739123917866,1.0717940046043475,1.0709732141418402,1.0625336647922876,1.0640251398338842,1.0652205351553343,1.0601395083555198,1.0650318079098604,1.0632531583237246,1.053824415327513,1.0692053161118673,1.0727884999539603,1.0729863195530294,1.071355379920405,1.074583139686093,1.0536756990627445,1.0619244851142007,1.0704035513205894,1.0680110887586949,1.07289718785334
