,battery,RuL,initial Capacity,end Capacity
0,b2c0,325,1.0700541,0.8264913
1,b2c1,169,1.0720705,0.82657939
2,b2c2,463,1.0735391,0.82514477
3,b2c3,360,1.0668509,0.82551384
4,b2c4,470,1.0728973,0.82567608
5,b2c5,506,1.0680153,0.82509845
6,b2c6,544,1.0687391,0.82558298
7,b1c0,1850,1.0706892,0.88280821
8,b1c1,2158,1.0753012,0.88000232
9,b1c2,2235,1.0799223,0.88067049
10,b2c10,595,1.0690521,0.82751918
11,b3c21,770,1.0678563,0.8801983
12,b3c28,539,1.0518668,0.88010961
13,b3c6,665,1.0626124,0.88052577
14,b2c17,524,1.0656468,0.82570732
15,b2c18,522,1.063838,0.82509476
16,b2c19,488,1.0480373,0.8257733
17,b1c5,1072,1.0761263,0.88053626
18,b2c20,530,1.0831043,0.8267718
19,b2c21,519,1.0768799,0.82639283
20,b2c22,539,1.079723,0.82699382
21,b2c23,561,1.0745209,0.82585847
22,b3c10,1076,1.0617746,0.88064086
23,b3c16,1636,1.061009,0.88014877
24,b3c42,1640,1.0669198,0.88037544
25,b3c45,1799,1.0695485,0.88047254
26,b3c7,1834,1.0675218,0.88036358
27,b1c6,634,1.0758358,0.8800565
28,b1c7,868,1.0938644,0.88110596
29,b2c24,523,1.0679682,0.82620329
30,b2c25,486,1.0672674,0.82600635
31,b2c26,497,1.0766411,0.82580936
32,b2c27,494,1.065841,0.82601935
33,b2c28,540,1.07155,0.82679296
34,b2c29,521,1.0725043,0.82688552
35,b2c11,504,1.0717047,0.82509011
36,b2c12,490,1.0712759,0.82620364
37,b2c13,519,1.080285,0.82540792
38,b2c14,508,1.0780684,0.82620102
39,b1c4,1707,1.0784166,0.88003981
40,b2c30,506,1.0672802,0.82608002
41,b2c31,518,1.0732793,0.82631207
42,b2c32,543,1.0742669,0.82708538
43,b2c33,545,1.079052,0.82591307
44,b2c34,525,1.0688509,0.82694751
45,b2c35,485,1.0687217,0.82589579
46,b3c1,1061,1.0650603,0.8802734
47,b3c17,1313,1.0664514,0.88043362
48,b3c25,987,1.0611302,0.88167018
49,b3c30,933,1.0687393,0.88024825
50,b3c34,1156,1.061535,0.88017184
51,b3c44,938,1.06972,0.88046378
52,b3c9,1037,1.0694826,0.8801114
53,b1c9,1052,1.0829742,0.8809284
54,b1c11,786,1.0537786,0.88054359
55,b1c16,860,1.0811663,0.88096577
56,b1c17,855,1.072052,0.8832469
57,b1c14,878,1.0709661,0.8800649
58,b1c15,717,1.0611236,0.88298881
59,b1c18,689,1.0661705,0.88114411
60,b1c19,786,1.0851147,0.88093972
61,b1c20,532,1.07263,0.88078493
62,b1c21,557,1.0824388,0.88016534
63,b3c11,815,1.0680679,0.88113368
64,b3c13,814,1.065558,0.88024569
65,b3c18,1144,1.0680237,0.88003904
66,b3c26,1026,1.0720186,0.88023561
67,b3c35,1091,1.0633804,0.88011736
68,b3c4,1046,1.0724765,0.88001466
69,b3c40,794,1.0593235,0.88070726
70,b2c36,559,1.079731,0.82715714
71,b3c12,930,1.0741653,0.88080788
72,b3c14,856,1.0727056,0.88065648
73,b3c19,1153,1.0719248,0.88007373
74,b3c27,848,1.0604171,0.88002509
75,b3c3,1113,1.0628892,0.88058406
76,b3c36,921,1.0575287,0.88060242
77,b3c41,784,1.0505219,0.88062328
78,b3c5,826,1.0514506,0.88066918
79,b2c37,501,1.0748166,0.8266471
80,b2c38,486,1.0699497,0.82531422
81,b2c39,479,1.0784613,0.82742006
82,b2c40,529,1.0765519,0.82612944
83,b2c41,451,1.0682049,0.82653892
84,b3c15,874,1.0684187,0.88058048
85,b3c29,856,1.0663688,0.88007307
86,b3c22,1000,1.0562643,0.88094068
87,b3c31,729,1.0681812,0.88031369
88,b3c0,1007,1.0674551,0.8804329
89,b3c20,811,1.0650502,0.88059181
90,b3c24,823,1.0462732,0.88021326
91,b3c33,1282,1.060272,0.88079751
92,b3c43,1044,1.0701852,0.88060749
93,b3c8,826,1.0647362,0.88094097
94,b2c42,491,1.0780239,0.82602185
95,b1c23,1012,1.0792933,0.88066453
96,b2c43,486,1.0735646,0.82605511
97,b1c26,868,1.0876514,0.88105017
98,b1c27,840,1.0790461,0.88130057
99,b1c24,1015,1.0745355,0.88046598
100,b1c25,852,1.0752345,0.88019997
101,b2c44,478,1.070887,0.82583231
102,b2c45,513,1.0704726,0.82503945
103,b1c30,707,1.0798634,0.88054287
104,b1c31,874,1.0946392,0.88099223
105,b1c28,858,1.0777475,0.88058227
106,b1c29,915,1.0794535,0.88035375
107,b2c46,448,1.0726138,0.8270995
108,b1c32,729,1.0778366,0.88080907
109,b1c33,755,1.0924908,0.88011229
110,b2c47,744,1.0421375,0.82620293
111,b1c34,740,1.0766174,0.88205445
112,b1c35,701,1.0707464,0.8802399
113,b1c38,615,1.0729513,0.88110942
114,b1c39,623,1.0817773,0.88011074
115,b1c36,702,1.0778315,0.88231802
116,b1c37,646,1.0748194,0.88336319
117,b1c40,964,1.0833029,0.88060951
118,b1c41,1049,1.0789613,0.88106161
119,b1c42,700,1.0798725,0.88035142
120,b1c43,649,1.0682389,0.88044435
121,b1c44,614,1.0847682,0.88048309
122,b1c45,597,1.0839558,0.88104212
