rul_80%,rul_0.88Ah,F7,F8,F9,F17,F24,F34,F38,battery,index
311,299,0.0373694736036263,0.0140129444444596,7.779771985189008e-05,-0.071275723900435,1.1383298738529766,0.7858995167673726,28.13857654545454,b2c0,1
158,148,0.0206886081656847,0.0201764166666578,8.472386693905458e-05,-0.0742903301920403,1.236563620533228,-2.003904880704514,29.153876969696974,b2c1,2
447,437,0.0031623732903898,0.0019133055555613,8.85003431989804e-06,-0.0208470459127896,1.090364002883604,0.827358554896449,29.86098985858586,b2c2,3
347,334,0.0325959886970109,0.0102836111111059,5.961214937117179e-05,-0.0580948774628119,1.1175634667210852,0.9318009955308852,30.06739974747475,b2c3,4
453,443,0.0460700350360095,0.0044092222222218,1.6980325131012388e-05,-0.0318859920184362,1.097450305506564,0.2998089878655605,30.21229415151516,b2c4,5
2267,2237,0.0171619172640584,0.0001226944444301,5.074889222118286e-07,-0.0043371605511881,1.0889440892089115,-0.5416070386631731,29.63665556565657,b1c2,10
576,560,0.0053607654850759,0.0028370277777867,1.1711982872396097e-05,-0.0250583992933611,1.090726218646603,0.2623919379461128,30.13714446464646,b2c10,11
506,486,0.0068670522216621,0.0029322222222134,8.315054684389587e-06,-0.0219009553463608,1.085892242815743,0.9169476839736816,30.048362797979795,b2c18,16
482,461,0.0132708971610708,0.0040546666666614,2.069941027548951e-05,-0.0313206294519972,1.0714363095584525,0.5579722982676145,30.19748982828284,b2c19,17
498,488,0.0180634416631918,0.0033861666666581,2.116092710732933e-05,-0.0305850740099701,1.094222820665158,-0.6996040268839963,30.16105161616162,b2c21,20
539,527,0.0144824951260428,0.0036691111111224,1.6103796587401386e-05,-0.0288440739554424,1.0905552348757204,0.2779000191169416,29.97702136363636,b2c23,22
644,634,0.0188203350950474,0.0009791388888817,8.145657618644733e-06,-0.0171310723448248,1.0911651523942734,-0.2410025785182021,29.74675023232324,b1c6,28
473,460,0.0195869818351037,0.0027709166666767,1.1138519170177266e-05,-0.024172894099793,1.084850607010968,-1.374988461788977,28.71784805050505,b2c25,31
481,468,0.0225842359405892,0.0018024999999823,7.531521116305905e-06,-0.019941484065916,1.0798944672946496,0.4413326771981083,29.903477979797977,b2c27,33
523,511,0.0147912375474967,0.0018341388888956,7.852007638118784e-06,-0.0171113153504867,1.072238204499304,0.3545949185504966,30.299562767676765,b2c28,34
507,497,0.0100295319366312,0.000866166666654,1.1083928161503515e-05,-0.0196032388614533,1.0817021175747203,0.5357082139699685,30.619532545454547,b2c29,35
487,476,0.0239612535336802,0.0031128611111199,1.1960052857015637e-05,-0.0256420630700442,1.0900172642194343,0.0206882072737712,30.532960151515155,b2c11,36
472,458,0.0387110289979616,0.0053854444444425,2.09096645579726e-05,-0.0356258648550857,1.1015258710249614,-0.2464470088308203,30.40700724242424,b2c12,37
493,482,0.0463932070294154,0.0048683888889229,2.696120529977878e-05,-0.0372674407949978,1.1058649700169312,0.4452110711289236,30.326898919191915,b2c13,38
492,484,0.0308038123095628,0.0022246111110888,1.5636949654758054e-05,-0.026216348300618,1.0899830017902918,0.3472880435505914,30.23667663636364,b2c14,39
1745,1708,0.012137225953662,0.0001642222222457,1.159780271103142e-06,-0.0064392882864809,1.087454096136171,-0.3742452137419541,29.48623257575758,b1c4,40
493,480,0.0253626159346506,0.0013364999999936,8.466844562560747e-06,-0.0198169553322532,1.0807308832209634,0.1749604629346777,29.98974753535354,b2c30,41
511,499,0.0172770521405523,0.0012167222222103,8.466126227566356e-06,-0.0173842195657166,1.081153222352228,-0.2484865936243778,30.60527203030304,b2c34,45
1066,1053,0.0150582165012705,0.000594805555556,5.010708592922702e-06,-0.013130129168594,1.0913604695252963,-0.0167169700273888,30.27654416161616,b1c9,54
882,859,0.0165140627894265,0.000476555555549,4.720702044791909e-06,-0.013309907956694,1.0803664541844031,0.0537584139416829,29.51441085858586,b1c17,57
903,878,0.017193358934344,0.0004184166666671,4.1650665844147735e-06,-0.0130088404427106,1.0799213506774503,-0.1305411459755703,30.080734686868688,b1c14,58
748,720,0.0195559934872308,-5.894444444898284e-05,4.384987797248888e-06,-0.0123415008597565,1.071994195610324,-0.0380192092317415,29.95646217171717,b1c15,59
712,690,0.0222130986978043,0.0017132222220652,1.0143031138446287e-05,-0.0209265338592877,1.0836254376673338,0.050064117082762,29.92855173737374,b1c18,60
553,533,0.0366444682387405,0.0046758055555518,2.057846056789903e-05,-0.0346010298129604,1.101736033574441,-0.3394531732561248,29.95786992929293,b1c20,62
566,558,0.043512864720271,0.0035904999999996,2.1651374647235967e-05,-0.0326018579585554,1.1030364900710048,-0.4079795818420351,30.24646564646465,b1c21,63
542,534,0.0166251368596996,0.0011026388888666,1.4775336395390088e-05,-0.0232198623716204,1.0876857491510232,0.2704431149210649,30.335337000000003,b2c36,71
474,464,0.0252158852001476,0.002633611111122,1.2364089402630871e-05,-0.024570951321791,1.0819191507716612,0.0939107431730548,29.734675161616163,b2c38,81
439,429,0.0353346302829706,0.0018062777777743,9.961574626987134e-06,-0.0201149827333652,1.0818686776996191,0.1557876594890217,30.29058161616161,b2c41,84
473,465,0.0101203113729994,0.0023138333333037,1.3345247548259549e-05,-0.0257974439912742,1.0897114817970948,0.3684073358369559,30.349650161616164,b2c42,95
878,870,0.0230924676203012,0.0014650555555455,7.95126185009533e-06,-0.0191064831799238,1.0951982615198683,0.0943337540095612,30.38767554545454,b1c26,98
498,486,0.0035887701227284,0.0020335277777547,1.254371988296686e-05,-0.0235783948406379,1.0835700738879466,-0.1096035786324236,29.97903942424242,b2c45,103
718,707,0.0267394317907281,0.001204972222224,8.46810892711131e-06,-0.0191622540103748,1.0888957144388716,0.145626752207832,30.65148055555555,b1c30,104
878,875,0.0207536407809516,0.0016006388888918,8.018771467632663e-06,-0.0197550863465305,1.1031224189654891,-0.2063145797359062,30.010210727272725,b1c31,105
878,859,0.0208090537904486,0.0013728055555457,6.983051616021706e-06,-0.018048827520049,1.0848608745762467,0.1086698668161147,30.629566909090908,b1c28,106
437,430,0.0383046103130124,0.0036685833333365,2.094389227562053e-05,-0.032335174942384,1.0825215956549616,0.2465357785014816,29.73767476767677,b2c46,108
747,730,0.0285500429104449,0.0016968333333355,1.063783604690386e-05,-0.0221173111757512,1.0860181325431286,0.0775664425599238,30.3776167979798,b1c32,109
740,712,0.0113690988538537,0.0008888888888947,4.039992902576623e-06,-0.0118059398223517,1.059172751600185,-0.9391312976451652,29.62258664646465,b2c47,111
721,702,0.0236121463065879,0.0015889166666553,8.146047125035627e-06,-0.0194485384197753,1.078655551404642,0.094723147549292,29.81474618181818,b1c35,113
632,616,0.0355845710032413,0.002536194444449,1.740259763004771e-05,-0.028851490536361,1.0833146243886538,0.2345537911939104,30.442174585858588,b1c38,114
634,624,0.0267721038892584,0.0021888888888828,1.459074569756995e-05,-0.0257871769739732,1.0908466021024417,0.2060396924844809,30.33902212121212,b1c39,115
721,705,0.0210681302753733,0.0019502777778033,1.03017024738612e-05,-0.0225660050489954,1.086645684572926,0.0147784594258553,30.27905603030303,b1c36,116
665,649,0.0281951900352138,0.0013636388889075,1.0313426792191375e-05,-0.0211287146216922,1.0841859875712532,0.0463000649948917,30.24633104040404,b1c37,117
978,966,0.0281716420818404,0.0010522500000043,3.780118672514388e-06,-0.0129062788105596,1.0930801854985823,0.0597968961188399,30.27876091919192,b1c40,118
1069,1051,0.0195799906812517,0.0009143333333394,3.874874190721001e-06,-0.0131650166082734,1.0878345943326435,-0.089292449542583,30.24054424242424,b1c41,119
717,702,0.0298723601897146,0.0020338333333373,9.98542121678416e-06,-0.0218413398448196,1.0887587006419157,0.1721609474797247,30.35422455555556,b1c42,120
2200,2158,0.0126351680156752,0.0001561666666685,3.354755868194092e-07,-0.0038622544587069,1.0847503716280094,-0.5076591573081828,29.5596134040404,b1c1,9
1090,1073,0.0169234313502684,0.0009868333333287,3.218834731976825e-06,-0.0120392319203444,1.0861884606797103,-0.1613003500498067,29.2404672020202,b1c5,18
508,501,-0.0164961778127462,0.0021741388888898,1.2062722748323936e-05,-0.0231125150711699,1.098219717124067,-0.0695346471391218,30.265128212121216,b2c20,19
520,512,0.0299784891629185,0.0023004722222168,1.2436249893521607e-05,-0.024226415343961,1.0940137067400837,0.1304471379642606,29.948447606060608,b2c22,21
487,478,0.0265110840471844,0.0018799166666383,1.4103528913324048e-05,-0.0247458567383452,1.0827341620287358,0.2229888619345459,29.77701325252525,b2c37,80
510,500,0.0229497259039354,0.0025658333333353,1.4592131125449949e-05,-0.0241757125836951,1.0937362365319765,0.5591982045951767,30.414334606060606,b2c40,83
760,756,0.0287547702706574,0.0022894166666613,1.0118101857741072e-05,-0.0226304530106265,1.1012190968233573,0.1754034389225687,30.366529363636364,b1c33,110
757,743,0.0162826353079441,0.00125880555556,6.690438089544685e-06,-0.016961615446677,1.084485937823726,-0.0926185856666563,29.990526777777774,b1c34,112
